"","eventID","occurrenceID","recordedBy","measurementType","measurementValue","measurementUnit"
"1","Site1_01/12/1929","Site1_01/12/1929_A18","Edgar Anderson","sepal length",5.1,"cm"
"2","Site1_01/12/1929","Site1_01/12/1929_A18","Edgar Anderson","sepal width",3.5,"cm"
"3","Site1_01/12/1929","Site1_01/12/1929_A18","Edgar Anderson","petal length",1.4,"cm"
"4","Site1_01/12/1929","Site1_01/12/1929_A18","Edgar Anderson","petal width",0.3,"cm"
"5","Site1_02/12/1929","Site1_02/12/1929_A30","Edgar Anderson","sepal length",4.7,"cm"
"6","Site1_02/12/1929","Site1_02/12/1929_A30","Edgar Anderson","sepal width",3.2,"cm"
"7","Site1_02/12/1929","Site1_02/12/1929_A30","Edgar Anderson","petal length",1.6,"cm"
"8","Site1_02/12/1929","Site1_02/12/1929_A30","Edgar Anderson","petal width",0.2,"cm"
"9","Site1_02/12/1929","Site1_02/12/1929_A47","Edgar Anderson","sepal length",4.5,"cm"
"10","Site1_02/12/1929","Site1_02/12/1929_A47","Edgar Anderson","sepal width",2.3,"cm"
"11","Site1_02/12/1929","Site1_02/12/1929_A47","Edgar Anderson","petal length",1.3,"cm"
"12","Site1_02/12/1929","Site1_02/12/1929_A47","Edgar Anderson","petal width",0.3,"cm"
"13","Site1_02/12/1929","Site1_02/12/1929_A28","Edgar Anderson","sepal length",5.2,"cm"
"14","Site1_02/12/1929","Site1_02/12/1929_A28","Edgar Anderson","sepal width",3.5,"cm"
"15","Site1_02/12/1929","Site1_02/12/1929_A28","Edgar Anderson","petal length",1.5,"cm"
"16","Site1_02/12/1929","Site1_02/12/1929_A28","Edgar Anderson","petal width",0.2,"cm"
"17","Site1_02/12/1929","Site1_02/12/1929_A75","Edgar Anderson","sepal length",6.4,"cm"
"18","Site1_02/12/1929","Site1_02/12/1929_A75","Edgar Anderson","sepal width",2.9,"cm"
"19","Site1_02/12/1929","Site1_02/12/1929_A75","Edgar Anderson","petal length",4.3,"cm"
"20","Site1_02/12/1929","Site1_02/12/1929_A75","Edgar Anderson","petal width",1.3,"cm"
"21","Site2_02/12/1929","Site2_02/12/1929_A95","Edgar Anderson","sepal length",5.6,"cm"
"22","Site2_02/12/1929","Site2_02/12/1929_A95","Edgar Anderson","sepal width",2.7,"cm"
"23","Site2_02/12/1929","Site2_02/12/1929_A95","Edgar Anderson","petal length",4.2,"cm"
"24","Site2_02/12/1929","Site2_02/12/1929_A95","Edgar Anderson","petal width",1.3,"cm"
"25","Site3_02/12/1929","Site3_02/12/1929_A64","Edgar Anderson","sepal length",6.1,"cm"
"26","Site3_02/12/1929","Site3_02/12/1929_A64","Edgar Anderson","sepal width",2.9,"cm"
"27","Site3_02/12/1929","Site3_02/12/1929_A64","Edgar Anderson","petal length",4.7,"cm"
"28","Site3_02/12/1929","Site3_02/12/1929_A64","Edgar Anderson","petal width",1.4,"cm"
"29","Site1_02/12/1929","Site1_02/12/1929_A105","Edgar Anderson","sepal length",6.5,"cm"
"30","Site1_02/12/1929","Site1_02/12/1929_A105","Edgar Anderson","sepal width",3,"cm"
"31","Site1_02/12/1929","Site1_02/12/1929_A105","Edgar Anderson","petal length",5.8,"cm"
"32","Site1_02/12/1929","Site1_02/12/1929_A105","Edgar Anderson","petal width",2.2,"cm"
"33","Site1_02/12/1929","Site1_02/12/1929_A114","Edgar Anderson","sepal length",5.7,"cm"
"34","Site1_02/12/1929","Site1_02/12/1929_A114","Edgar Anderson","sepal width",2.5,"cm"
"35","Site1_02/12/1929","Site1_02/12/1929_A114","Edgar Anderson","petal length",5,"cm"
"36","Site1_02/12/1929","Site1_02/12/1929_A114","Edgar Anderson","petal width",2,"cm"
"37","Site1_02/12/1929","Site1_02/12/1929_A126","Edgar Anderson","sepal length",7.2,"cm"
"38","Site1_02/12/1929","Site1_02/12/1929_A126","Edgar Anderson","sepal width",3.2,"cm"
"39","Site1_02/12/1929","Site1_02/12/1929_A126","Edgar Anderson","petal length",6,"cm"
"40","Site1_02/12/1929","Site1_02/12/1929_A126","Edgar Anderson","petal width",1.8,"cm"
"41","Site1_02/12/1929","Site1_02/12/1929_A138","Edgar Anderson","sepal length",6.4,"cm"
"42","Site1_02/12/1929","Site1_02/12/1929_A138","Edgar Anderson","sepal width",3.1,"cm"
"43","Site1_02/12/1929","Site1_02/12/1929_A138","Edgar Anderson","petal length",5.5,"cm"
"44","Site1_02/12/1929","Site1_02/12/1929_A138","Edgar Anderson","petal width",1.8,"cm"
"45","Site1_02/12/1929","Site1_02/12/1929_A141","Edgar Anderson","sepal length",6.7,"cm"
"46","Site1_02/12/1929","Site1_02/12/1929_A141","Edgar Anderson","sepal width",3.1,"cm"
"47","Site1_02/12/1929","Site1_02/12/1929_A141","Edgar Anderson","petal length",5.6,"cm"
"48","Site1_02/12/1929","Site1_02/12/1929_A141","Edgar Anderson","petal width",2.4,"cm"
"49","Site1_02/12/1929","Site1_02/12/1929_A150","Edgar Anderson","sepal length",5.9,"cm"
"50","Site1_02/12/1929","Site1_02/12/1929_A150","Edgar Anderson","sepal width",3,"cm"
"51","Site1_02/12/1929","Site1_02/12/1929_A150","Edgar Anderson","petal length",5.1,"cm"
"52","Site1_02/12/1929","Site1_02/12/1929_A150","Edgar Anderson","petal width",1.8,"cm"
"53","Site2_02/12/1929","Site2_02/12/1929_A101","Edgar Anderson","sepal length",6.3,"cm"
"54","Site2_02/12/1929","Site2_02/12/1929_A101","Edgar Anderson","sepal width",3.3,"cm"
"55","Site2_02/12/1929","Site2_02/12/1929_A101","Edgar Anderson","petal length",6,"cm"
"56","Site2_02/12/1929","Site2_02/12/1929_A101","Edgar Anderson","petal width",2.5,"cm"
"57","Site2_02/12/1929","Site2_02/12/1929_A146","Edgar Anderson","sepal length",6.7,"cm"
"58","Site2_02/12/1929","Site2_02/12/1929_A146","Edgar Anderson","sepal width",3,"cm"
"59","Site2_02/12/1929","Site2_02/12/1929_A146","Edgar Anderson","petal length",5.2,"cm"
"60","Site2_02/12/1929","Site2_02/12/1929_A146","Edgar Anderson","petal width",2.3,"cm"
"61","Site2_13/02/1930","Site2_13/02/1930_A24","Edgar Anderson","sepal length",4.9,"cm"
"62","Site2_13/02/1930","Site2_13/02/1930_A24","Edgar Anderson","sepal width",3.6,"cm"
"63","Site2_13/02/1930","Site2_13/02/1930_A24","Edgar Anderson","petal length",1.4,"cm"
"64","Site2_13/02/1930","Site2_13/02/1930_A24","Edgar Anderson","petal width",0.1,"cm"
"65","Site3_01/12/1929","Site3_01/12/1929_A148","Edgar Anderson","sepal length",6.9,"cm"
"66","Site3_01/12/1929","Site3_01/12/1929_A148","Edgar Anderson","sepal width",3.1,"cm"
"67","Site3_01/12/1929","Site3_01/12/1929_A148","Edgar Anderson","petal length",5.1,"cm"
"68","Site3_01/12/1929","Site3_01/12/1929_A148","Edgar Anderson","petal width",2.3,"cm"
"69","Site2_13/02/1930","Site2_13/02/1930_A70","Edgar Anderson","sepal length",6.6,"cm"
"70","Site2_13/02/1930","Site2_13/02/1930_A70","Edgar Anderson","sepal width",2.9,"cm"
"71","Site2_13/02/1930","Site2_13/02/1930_A70","Edgar Anderson","petal length",4.6,"cm"
"72","Site2_13/02/1930","Site2_13/02/1930_A70","Edgar Anderson","petal width",1.3,"cm"
"73","Site1_01/12/1929","Site1_01/12/1929_A16","Edgar Anderson","sepal length",5.8,"cm"
"74","Site1_01/12/1929","Site1_01/12/1929_A16","Edgar Anderson","sepal width",4,"cm"
"75","Site1_01/12/1929","Site1_01/12/1929_A16","Edgar Anderson","petal length",1.2,"cm"
"76","Site1_01/12/1929","Site1_01/12/1929_A16","Edgar Anderson","petal width",0.2,"cm"
"77","Site1_01/12/1929","Site1_01/12/1929_A67","Edgar Anderson","sepal length",5.1,"cm"
"78","Site1_01/12/1929","Site1_01/12/1929_A67","Edgar Anderson","sepal width",2.5,"cm"
"79","Site1_01/12/1929","Site1_01/12/1929_A67","Edgar Anderson","petal length",3,"cm"
"80","Site1_01/12/1929","Site1_01/12/1929_A67","Edgar Anderson","petal width",1.1,"cm"
"81","Site3_01/12/1929","Site3_01/12/1929_A144","Edgar Anderson","sepal length",7.2,"cm"
"82","Site3_01/12/1929","Site3_01/12/1929_A144","Edgar Anderson","sepal width",3,"cm"
"83","Site3_01/12/1929","Site3_01/12/1929_A144","Edgar Anderson","petal length",5.8,"cm"
"84","Site3_01/12/1929","Site3_01/12/1929_A144","Edgar Anderson","petal width",1.6,"cm"
"85","Site3_01/12/1929","Site3_01/12/1929_A92","Edgar Anderson","sepal length",6.6,"cm"
"86","Site3_01/12/1929","Site3_01/12/1929_A92","Edgar Anderson","sepal width",3,"cm"
"87","Site3_01/12/1929","Site3_01/12/1929_A92","Edgar Anderson","petal length",4.4,"cm"
"88","Site3_01/12/1929","Site3_01/12/1929_A92","Edgar Anderson","petal width",1.4,"cm"
"89","Site1_01/12/1929","Site1_01/12/1929_A108","Edgar Anderson","sepal length",7.7,"cm"
"90","Site1_01/12/1929","Site1_01/12/1929_A108","Edgar Anderson","sepal width",2.8,"cm"
"91","Site1_01/12/1929","Site1_01/12/1929_A108","Edgar Anderson","petal length",6.7,"cm"
"92","Site1_01/12/1929","Site1_01/12/1929_A108","Edgar Anderson","petal width",2,"cm"
"93","Site1_01/12/1929","Site1_01/12/1929_A112","Edgar Anderson","sepal length",6.1,"cm"
"94","Site1_01/12/1929","Site1_01/12/1929_A112","Edgar Anderson","sepal width",2.6,"cm"
"95","Site1_01/12/1929","Site1_01/12/1929_A112","Edgar Anderson","petal length",5.6,"cm"
"96","Site1_01/12/1929","Site1_01/12/1929_A112","Edgar Anderson","petal width",1.4,"cm"
"97","Site2_01/12/1929","Site2_01/12/1929_A81","Edgar Anderson","sepal length",6.1,"cm"
"98","Site2_01/12/1929","Site2_01/12/1929_A81","Edgar Anderson","sepal width",3,"cm"
"99","Site2_01/12/1929","Site2_01/12/1929_A81","Edgar Anderson","petal length",4.6,"cm"
"100","Site2_01/12/1929","Site2_01/12/1929_A81","Edgar Anderson","petal width",1.4,"cm"
"101","Site1_01/12/1929","Site1_01/12/1929_A51","Edgar Anderson","sepal length",7,"cm"
"102","Site1_01/12/1929","Site1_01/12/1929_A51","Edgar Anderson","sepal width",3.2,"cm"
"103","Site1_01/12/1929","Site1_01/12/1929_A51","Edgar Anderson","petal length",4.7,"cm"
"104","Site1_01/12/1929","Site1_01/12/1929_A51","Edgar Anderson","petal width",1.4,"cm"
"105","Site2_01/12/1929","Site2_01/12/1929_A75","Edgar Anderson","sepal length",6.1,"cm"
"106","Site2_01/12/1929","Site2_01/12/1929_A75","Edgar Anderson","sepal width",2.8,"cm"
"107","Site2_01/12/1929","Site2_01/12/1929_A75","Edgar Anderson","petal length",4.7,"cm"
"108","Site2_01/12/1929","Site2_01/12/1929_A75","Edgar Anderson","petal width",1.2,"cm"
"109","Site2_01/12/1929","Site2_01/12/1929_A32","Edgar Anderson","sepal length",5.4,"cm"
"110","Site2_01/12/1929","Site2_01/12/1929_A32","Edgar Anderson","sepal width",3.7,"cm"
"111","Site2_01/12/1929","Site2_01/12/1929_A32","Edgar Anderson","petal length",1.5,"cm"
"112","Site2_01/12/1929","Site2_01/12/1929_A32","Edgar Anderson","petal width",0.2,"cm"
"113","Site3_01/12/1929","Site3_01/12/1929_A34","Edgar Anderson","sepal length",5.7,"cm"
"114","Site3_01/12/1929","Site3_01/12/1929_A34","Edgar Anderson","sepal width",3.8,"cm"
"115","Site3_01/12/1929","Site3_01/12/1929_A34","Edgar Anderson","petal length",1.7,"cm"
"116","Site3_01/12/1929","Site3_01/12/1929_A34","Edgar Anderson","petal width",0.3,"cm"
"117","Site1_01/12/1929","Site1_01/12/1929_A52","Edgar Anderson","sepal length",5.5,"cm"
"118","Site1_01/12/1929","Site1_01/12/1929_A52","Edgar Anderson","sepal width",2.3,"cm"
"119","Site1_01/12/1929","Site1_01/12/1929_A52","Edgar Anderson","petal length",4,"cm"
"120","Site1_01/12/1929","Site1_01/12/1929_A52","Edgar Anderson","petal width",1.3,"cm"
"121","Site1_01/12/1929","Site1_01/12/1929_A21","Edgar Anderson","sepal length",5.4,"cm"
"122","Site1_01/12/1929","Site1_01/12/1929_A21","Edgar Anderson","sepal width",3.4,"cm"
"123","Site1_01/12/1929","Site1_01/12/1929_A21","Edgar Anderson","petal length",1.7,"cm"
"124","Site1_01/12/1929","Site1_01/12/1929_A21","Edgar Anderson","petal width",0.2,"cm"
"125","Site1_01/12/1929","Site1_01/12/1929_A33","Edgar Anderson","sepal length",5.2,"cm"
"126","Site1_01/12/1929","Site1_01/12/1929_A33","Edgar Anderson","sepal width",4.1,"cm"
"127","Site1_01/12/1929","Site1_01/12/1929_A33","Edgar Anderson","petal length",1.5,"cm"
"128","Site1_01/12/1929","Site1_01/12/1929_A33","Edgar Anderson","petal width",0.1,"cm"
"129","Site1_01/12/1929","Site1_01/12/1929_A39","Edgar Anderson","sepal length",4.4,"cm"
"130","Site1_01/12/1929","Site1_01/12/1929_A39","Edgar Anderson","sepal width",3,"cm"
"131","Site1_01/12/1929","Site1_01/12/1929_A39","Edgar Anderson","petal length",1.3,"cm"
"132","Site1_01/12/1929","Site1_01/12/1929_A39","Edgar Anderson","petal width",0.2,"cm"
"133","Site2_13/02/1930","Site2_13/02/1930_A23","Edgar Anderson","sepal length",4.6,"cm"
"134","Site2_13/02/1930","Site2_13/02/1930_A23","Edgar Anderson","sepal width",3.6,"cm"
"135","Site2_13/02/1930","Site2_13/02/1930_A23","Edgar Anderson","petal length",1,"cm"
"136","Site2_13/02/1930","Site2_13/02/1930_A23","Edgar Anderson","petal width",0.2,"cm"
"137","Site2_13/02/1930","Site2_13/02/1930_A50","Edgar Anderson","sepal length",5,"cm"
"138","Site2_13/02/1930","Site2_13/02/1930_A50","Edgar Anderson","sepal width",3.3,"cm"
"139","Site2_13/02/1930","Site2_13/02/1930_A50","Edgar Anderson","petal length",1.4,"cm"
"140","Site2_13/02/1930","Site2_13/02/1930_A50","Edgar Anderson","petal width",0.2,"cm"
"141","Site2_13/02/1930","Site2_13/02/1930_A5","Edgar Anderson","sepal length",5,"cm"
"142","Site2_13/02/1930","Site2_13/02/1930_A5","Edgar Anderson","sepal width",3.6,"cm"
"143","Site2_13/02/1930","Site2_13/02/1930_A5","Edgar Anderson","petal length",1.4,"cm"
"144","Site2_13/02/1930","Site2_13/02/1930_A5","Edgar Anderson","petal width",0.2,"cm"
"145","Site3_01/12/1929","Site3_01/12/1929_A22","Edgar Anderson","sepal length",5.1,"cm"
"146","Site3_01/12/1929","Site3_01/12/1929_A22","Edgar Anderson","sepal width",3.7,"cm"
"147","Site3_01/12/1929","Site3_01/12/1929_A22","Edgar Anderson","petal length",1.5,"cm"
"148","Site3_01/12/1929","Site3_01/12/1929_A22","Edgar Anderson","petal width",0.4,"cm"
"149","Site3_01/12/1929","Site3_01/12/1929_A46","Edgar Anderson","sepal length",4.8,"cm"
"150","Site3_01/12/1929","Site3_01/12/1929_A46","Edgar Anderson","sepal width",3,"cm"
"151","Site3_01/12/1929","Site3_01/12/1929_A46","Edgar Anderson","petal length",1.4,"cm"
"152","Site3_01/12/1929","Site3_01/12/1929_A46","Edgar Anderson","petal width",0.3,"cm"
"153","Site2_13/02/1930","Site2_13/02/1930_A71","Edgar Anderson","sepal length",5.9,"cm"
"154","Site2_13/02/1930","Site2_13/02/1930_A71","Edgar Anderson","sepal width",3.2,"cm"
"155","Site2_13/02/1930","Site2_13/02/1930_A71","Edgar Anderson","petal length",4.8,"cm"
"156","Site2_13/02/1930","Site2_13/02/1930_A71","Edgar Anderson","petal width",1.8,"cm"
"157","Site3_01/12/1929","Site3_01/12/1929_A82","Edgar Anderson","sepal length",5.5,"cm"
"158","Site3_01/12/1929","Site3_01/12/1929_A82","Edgar Anderson","sepal width",2.4,"cm"
"159","Site3_01/12/1929","Site3_01/12/1929_A82","Edgar Anderson","petal length",3.7,"cm"
"160","Site3_01/12/1929","Site3_01/12/1929_A82","Edgar Anderson","petal width",1,"cm"
"161","Site3_01/12/1929","Site3_01/12/1929_A97","Edgar Anderson","sepal length",5.7,"cm"
"162","Site3_01/12/1929","Site3_01/12/1929_A97","Edgar Anderson","sepal width",2.9,"cm"
"163","Site3_01/12/1929","Site3_01/12/1929_A97","Edgar Anderson","petal length",4.2,"cm"
"164","Site3_01/12/1929","Site3_01/12/1929_A97","Edgar Anderson","petal width",1.3,"cm"
"165","Site2_13/02/1930","Site2_13/02/1930_A104","Edgar Anderson","sepal length",6.3,"cm"
"166","Site2_13/02/1930","Site2_13/02/1930_A104","Edgar Anderson","sepal width",2.9,"cm"
"167","Site2_13/02/1930","Site2_13/02/1930_A104","Edgar Anderson","petal length",5.6,"cm"
"168","Site2_13/02/1930","Site2_13/02/1930_A104","Edgar Anderson","petal width",1.8,"cm"
"169","Site2_13/02/1930","Site2_13/02/1930_A122","Edgar Anderson","sepal length",5.6,"cm"
"170","Site2_13/02/1930","Site2_13/02/1930_A122","Edgar Anderson","sepal width",2.8,"cm"
"171","Site2_13/02/1930","Site2_13/02/1930_A122","Edgar Anderson","petal length",4.9,"cm"
"172","Site2_13/02/1930","Site2_13/02/1930_A122","Edgar Anderson","petal width",2,"cm"
"173","Site2_13/02/1930","Site2_13/02/1930_A125","Edgar Anderson","sepal length",6.7,"cm"
"174","Site2_13/02/1930","Site2_13/02/1930_A125","Edgar Anderson","sepal width",3.3,"cm"
"175","Site2_13/02/1930","Site2_13/02/1930_A125","Edgar Anderson","petal length",5.7,"cm"
"176","Site2_13/02/1930","Site2_13/02/1930_A125","Edgar Anderson","petal width",2.1,"cm"
"177","Site3_01/12/1929","Site3_01/12/1929_A112","Edgar Anderson","sepal length",6.4,"cm"
"178","Site3_01/12/1929","Site3_01/12/1929_A112","Edgar Anderson","sepal width",2.7,"cm"
"179","Site3_01/12/1929","Site3_01/12/1929_A112","Edgar Anderson","petal length",5.3,"cm"
"180","Site3_01/12/1929","Site3_01/12/1929_A112","Edgar Anderson","petal width",1.9,"cm"
"181","Site1_01/12/1929","Site1_01/12/1929_A3","Edgar Anderson","sepal length",4.7,"cm"
"182","Site1_01/12/1929","Site1_01/12/1929_A3","Edgar Anderson","sepal width",3.2,"cm"
"183","Site1_01/12/1929","Site1_01/12/1929_A3","Edgar Anderson","petal length",1.3,"cm"
"184","Site1_01/12/1929","Site1_01/12/1929_A3","Edgar Anderson","petal width",0.2,"cm"
"185","Site3_01/12/1929","Site3_01/12/1929_A4","Edgar Anderson","sepal length",4.6,"cm"
"186","Site3_01/12/1929","Site3_01/12/1929_A4","Edgar Anderson","sepal width",3.1,"cm"
"187","Site3_01/12/1929","Site3_01/12/1929_A4","Edgar Anderson","petal length",1.5,"cm"
"188","Site3_01/12/1929","Site3_01/12/1929_A4","Edgar Anderson","petal width",0.2,"cm"
"189","Site3_01/12/1929","Site3_01/12/1929_A7","Edgar Anderson","sepal length",4.6,"cm"
"190","Site3_01/12/1929","Site3_01/12/1929_A7","Edgar Anderson","sepal width",3.4,"cm"
"191","Site3_01/12/1929","Site3_01/12/1929_A7","Edgar Anderson","petal length",1.4,"cm"
"192","Site3_01/12/1929","Site3_01/12/1929_A7","Edgar Anderson","petal width",0.3,"cm"
"193","Site3_01/12/1929","Site3_01/12/1929_A25","Edgar Anderson","sepal length",4.8,"cm"
"194","Site3_01/12/1929","Site3_01/12/1929_A25","Edgar Anderson","sepal width",3.4,"cm"
"195","Site3_01/12/1929","Site3_01/12/1929_A25","Edgar Anderson","petal length",1.9,"cm"
"196","Site3_01/12/1929","Site3_01/12/1929_A25","Edgar Anderson","petal width",0.2,"cm"
"197","Site1_01/12/1929","Site1_01/12/1929_A27","Edgar Anderson","sepal length",5,"cm"
"198","Site1_01/12/1929","Site1_01/12/1929_A27","Edgar Anderson","sepal width",3.4,"cm"
"199","Site1_01/12/1929","Site1_01/12/1929_A27","Edgar Anderson","petal length",1.6,"cm"
"200","Site1_01/12/1929","Site1_01/12/1929_A27","Edgar Anderson","petal width",0.4,"cm"
"201","Site2_13/02/1930","Site2_13/02/1930_A65","Edgar Anderson","sepal length",5.6,"cm"
"202","Site2_13/02/1930","Site2_13/02/1930_A65","Edgar Anderson","sepal width",2.9,"cm"
"203","Site2_13/02/1930","Site2_13/02/1930_A65","Edgar Anderson","petal length",3.6,"cm"
"204","Site2_13/02/1930","Site2_13/02/1930_A65","Edgar Anderson","petal width",1.3,"cm"
"205","Site1_01/12/1929","Site1_01/12/1929_A72","Edgar Anderson","sepal length",6.1,"cm"
"206","Site1_01/12/1929","Site1_01/12/1929_A72","Edgar Anderson","sepal width",2.8,"cm"
"207","Site1_01/12/1929","Site1_01/12/1929_A72","Edgar Anderson","petal length",4,"cm"
"208","Site1_01/12/1929","Site1_01/12/1929_A72","Edgar Anderson","petal width",1.3,"cm"
"209","Site2_13/02/1930","Site2_13/02/1930_A77","Edgar Anderson","sepal length",6.8,"cm"
"210","Site2_13/02/1930","Site2_13/02/1930_A77","Edgar Anderson","sepal width",2.8,"cm"
