scientificName;acceptedScientificName;decimalLatitude;decimalLongitude;issues;basisOfRecord;occurrenceStatus;rightsHolder;datasetName;recordedBy;locality;habitat;stateProvince
Melanoxylon brauna Schott;Melanoxylon brauna Schott;-18,994167;-40,696111;cdround,gass84,rdativ,colmafu,inmafu;PRESERVED_SPECIMEN;PRESENT;MBM - Herbário do Museu Botânico Municipal;MBM - Herbário do Museu Botânico Municipal;"V. Demuner;T. Cruz, M. Belizário e Elias Bausen.";Córrego Taquaral, Santa Luzia, propr.: José Rochinha;;Espírito Santo
Melanoxylon brauna Schott;Melanoxylon brauna Schott;-18,984167;-40,662222;cdround,gass84,rdativ,colmafu,inmafu;PRESERVED_SPECIMEN;PRESENT;MBM - Herbário do Museu Botânico Municipal;MBM - Herbário do Museu Botânico Municipal;"V. Demuner;T. Cruz, M. Belizário e Elias Bausen.";Santa Luzia, propr.: Ciro Ferreira;;Espírito Santo
Melanoxylon brauna Schott;Melanoxylon brauna Schott;-21,321667;-41,119722;cdround,gass84,inmano;PRESERVED_SPECIMEN;PRESENT;HUENF;Herbário - Universidade Estadual do Norte Fluminense Darcy Ribeiro;"Nascimento, M.T.;Dan, M.L.,Ribeiro, A.C.C.";Fazenda Palmeiras;;Rio de Janeiro
Melanoxylon brauna Schott;Melanoxylon brauna Schott;-19,891611;-43,915972;gass84,ambinst;PRESERVED_SPECIMEN;PRESENT;BHCB - Herbário da Universidade Federal de Minas Gerais;BHCB - Herbário da Universidade Federal de Minas Gerais;Felix, DF;Museu de História Natural e Jardim Botânico UFMG, Coletada na mata do cipozão e mata da Psychotria. Áreas 1 e 4.;;Minas Gerais
Melanoxylon brauna Schott;Melanoxylon brauna Schott;-11,625278;-40,992778;gass84,diffown;PRESERVED_SPECIMEN;PRESENT;HUEFS - Herbario da Universidade Estadual de Feira de Santana;HUEFS - Herbario da Universidade Estadual de Feira de Santana;Cardoso, D.;Cachoeira do Ferro-Doido.;;Bahia
Melanoxylon brauna Schott;Melanoxylon brauna Schott;-9,922986;-36,476217;gass84,inmano;PRESERVED_SPECIMEN;PRESENT;MAC - Herbário do Instituto do Meio Ambiente do Estado de Alagoas;MAC - Herbário do Instituto do Meio Ambiente do Estado de Alagoas;A.L.S.Santos;Povoado Olho D'água.;;Alagoas
Melanoxylon brauna Schott;Melanoxylon brauna Schott;-19,886389;-43,806667;gass84,inmano;PRESERVED_SPECIMEN;PRESENT;Funed-Pol - Coleção de lâminas de grãos de pólen;Funed-Pol - Coleção de lâminas de grãos de pólen;Dora Jacob;Sabará;;Minas Gerais
Melanoxylon brauna Schott;Melanoxylon brauna Schott;-12,302778;-40,487222;gass84,diffown;PRESERVED_SPECIMEN;PRESENT;HUEFS - Herbario da Universidade Estadual de Feira de Santana;HUEFS - Herbario da Universidade Estadual de Feira de Santana;Queiroz, L.P.de;Serra do Orobó, caminho para o Pátio das Orquídeas.;;Bahia
Melanoxylon brauna Schott;Melanoxylon brauna Schott;-13,691667;-44,042222;gass84,diffown;PRESERVED_SPECIMEN;PRESENT;HUEFS - Herbario da Universidade Estadual de Feira de Santana;HUEFS - Herbario da Universidade Estadual de Feira de Santana;Queiroz, L.P.de;Ca. 37 Km S de São Félix do Coribe na estrada para Alagoinhas.;;Bahia
Melanoxylon brauna Schott;Melanoxylon brauna Schott;-13,691666;-44,042222;gass84,osiic,inmano;PRESERVED_SPECIMEN;PRESENT;CEN - Herbário da Embrapa Recursos Genéticos e Biotecnologia;CEN - Herbário da Embrapa Recursos Genéticos e Biotecnologia;Luciano Paganucci de Queiroz;Na estrada para Alagoinhas;;Bahia
Melanoxylon brauna Schott;Melanoxylon brauna Schott;-13,691667;-44,042222;cdround,gass84,incomis,inmafu;PRESERVED_SPECIMEN;PRESENT;CEN - Herbário da Embrapa Recursos Genéticos e Biotecnologia;CEN - Herbário da Embrapa Recursos Genéticos e Biotecnologia;Luciano Paganucci de Queiroz;Na estrada para Alagoinhas;;Bahia
Melanoxylon brauna Schott;Melanoxylon brauna Schott;-22,6175;-42,291389;gass84,inmano;PRESERVED_SPECIMEN;PRESENT;UEC - Herbário da Universidade Estadual de Campinas;UEC - Herbário da Universidade Estadual de Campinas;Lima, HC;Estrada para São Vicente de Paula, RJ-136, cerca de 2 Km antes de S.V. de Paula.;;Rio de Janeiro
Melanoxylon brauna Schott;Melanoxylon brauna Schott;-22,8769601;-42,34320882;cdrep,colmafu;PRESERVED_SPECIMEN;PRESENT;The New York Botanical Garden;Vascular plants;H. C. de Lima;Estrada para São Vicente de Paula, RJ-136, ca. de 2 km antes de S. V. de Paula.;;Rio de Janeiro
Melanoxylon brauna Schott;Melanoxylon brauna Schott;-22,873056;-42,343056;cdround,gass84,colmafu,inmafu;PRESERVED_SPECIMEN;PRESENT;NY;;H. C. de Lima;Estrada para São Vicente de Paula, RJ-136, ca. de 2 km antes de S. V. de Paula.;;Rio de Janeiro
Melanoxylon brauna Schott;Melanoxylon brauna Schott;-13,944722;-41,058333;gass84,inmano;PRESERVED_SPECIMEN;PRESENT;HUESB - Herbário da Universidade Estadual do Sudoeste da Bahia;HUESB - Herbário da Universidade Estadual do Sudoeste da Bahia;"Macedo, G.E.L.; AF. Souza, LB Freitas; AF. Souza, LB Freitas";Fazenda Brejo Novo, Fazenda Brejo Novo, a 10,5 Km da Av. Otávio Mangabeira entrando pela Av. Exupério Miranda no Bairro do Mandacarú.;;Bahia
Melanoxylon brauna Schott;Melanoxylon brauna Schott;-13,944722;-40,109167;cdround,gass84,rdativ,inmano;PRESERVED_SPECIMEN;PRESENT;Rio de Janeiro Botanical Garden;RB - Rio de Janeiro Botanical Garden Herbarium Collection;"GELMacedo; AF. Souza, L.B.Freiras";Fazenda brejo Novo, a 10,5Km da Av.Otávio Mangabeira, entrando pela Av.Exupério Miranda no Bairro do Mandacarú.;;Bahia
Melanoxylon brauna Schott;Melanoxylon brauna Schott;-9,370348;-36,23929;gass84,inmano;PRESERVED_SPECIMEN;PRESENT;MAC - Herbário do Instituto do Meio Ambiente do Estado de Alagoas;MAC - Herbário do Instituto do Meio Ambiente do Estado de Alagoas;M.A.B.L.Machado;Usina Coruripe - Fazenda Capiatã A - Bloco Top Less.;;Alagoas
Melanoxylon brauna Schott;Melanoxylon brauna Schott;-13,944722;-41,058333;gass84,inmano;PRESERVED_SPECIMEN;PRESENT;HUESB - Herbário da Universidade Estadual do Sudoeste da Bahia;HUESB - Herbário da Universidade Estadual do Sudoeste da Bahia;"Macedo, G.E.L.; Paixão, J.L.; Paixão, J.L.";Fazenda Brejo Novo, Fazenda Brejo Novo, a 10,5 Km da Av. Otávio Mangabeira entrando pela Av. Exupério Miranda no Bairro do Mandacarú.;;Bahia
Melanoxylon brauna Schott;Melanoxylon brauna Schott;-13,944722;-40,109444;cdround,gass84,rdativ,inmano;PRESERVED_SPECIMEN;PRESENT;Rio de Janeiro Botanical Garden;RB - Rio de Janeiro Botanical Garden Herbarium Collection;"GELMACEDO; J.L. PAIXÃO";FAZENDA BREJO NOVO, A 10,5KM DA AV. OTÁVIO MANGABEIRA PELA EXUPÉRIO MIRANDA NO BAIRRO DO MANDACARU. .;;Bahia
Melanoxylon brauna Schott;Melanoxylon brauna Schott;-19,857222;-42,508056;gass84,ambinst;PRESERVED_SPECIMEN;PRESENT;BHCB - Herbário da Universidade Federal de Minas Gerais;BHCB - Herbário da Universidade Federal de Minas Gerais;França, GS;Lagoa das Piabas.;;Minas Gerais
Melanoxylon brauna Schott;Melanoxylon brauna Schott;-19,857222;-42,508056;gass84,diffown;PRESERVED_SPECIMEN;PRESENT;HUEFS - Herbario da Universidade Estadual de Feira de Santana;HUEFS - Herbario da Universidade Estadual de Feira de Santana;França, G.S.;Lagoa das Piabas.;;Minas Gerais
Melanoxylon brauna Schott;Melanoxylon brauna Schott;-13,716667;-39,133333;gass84,incomis,inmafu;PRESERVED_SPECIMEN;PRESENT;ALCB - Herbário Alexandre Leal Costa;ALCB - Herbário Alexandre Leal Costa;"Guedes, ML; Loureiro, DM; Magalhães, LO; Meyer, LMN; Bispo, RB";Litoral Sul, Cachoeira da Pancada Grande;;Bahia
Melanoxylon brauna Schott;Melanoxylon brauna Schott;-13,716667;-39,133333;cdround,gass84,colmafu,inmafu;PRESERVED_SPECIMEN;PRESENT;ALCB - Herbário Alexandre Leal Costa;ALCB - Herbário Alexandre Leal Costa;"Guedes, ML;Meyer, LMN,Magalhães, LO,Loureiro, DM,Bispo, RB";Litoral Sul, Cachoeira da Pancada Grande;;Bahia
Melanoxylon brauna Schott;Melanoxylon brauna Schott;-10,063056;-36,337778;gass84,inmano;PRESERVED_SPECIMEN;PRESENT;MAC - Herbário do Instituto do Meio Ambiente do Estado de Alagoas;MAC - Herbário do Instituto do Meio Ambiente do Estado de Alagoas;M.A.B.L.Machado;Usina Coruripe, Fazenda Riachão - Camondongo.;;Alagoas
Melanoxylon brauna Schott;Melanoxylon brauna Schott;-13,485;-40,407222;gass84,diffown;PRESERVED_SPECIMEN;PRESENT;HUEFS - Herbario da Universidade Estadual de Feira de Santana;HUEFS - Herbario da Universidade Estadual de Feira de Santana;Leite, K.R.B;Fazenda Vale Aprazível (propriedade do Sr. Fernando Carvalho);;Bahia
Melanoxylon brauna Schott;Melanoxylon brauna Schott;-11,55;-37,783333;gass84,diffown;PRESERVED_SPECIMEN;PRESENT;HUEFS - Herbario da Universidade Estadual de Feira de Santana;HUEFS - Herbario da Universidade Estadual de Feira de Santana;Costa, J.;Próximo ao povoado de Costa Azul.;;Bahia
Melanoxylon brauna Schott;Melanoxylon brauna Schott;-11,55;-37,783333;gass84,incomis,inmafu;PRESERVED_SPECIMEN;PRESENT;ALCB - Herbário Alexandre Leal Costa;ALCB - Herbário Alexandre Leal Costa;"Costa, J; Costa, CBN";Litoral Norte, próximo ao povoado de Costa Azul.;;Bahia
Melanoxylon brauna Schott;Melanoxylon brauna Schott;-11,55;-37,783333;cdround,gass84,colmafu,inmafu;PRESERVED_SPECIMEN;PRESENT;ALCB - Herbário Alexandre Leal Costa;ALCB - Herbário Alexandre Leal Costa;"Costa, J;Costa, CBN";Litoral Norte, próximo ao povoado de Costa Azul.;;Bahia
Melanoxylon brauna Schott;Melanoxylon brauna Schott;-11,227742;-36,176061;gass84,inmano;PRESERVED_SPECIMEN;PRESENT;MAC - Herbário do Instituto do Meio Ambiente do Estado de Alagoas;MAC - Herbário do Instituto do Meio Ambiente do Estado de Alagoas;M.A.B.L.Machado;Usina Coruripe, Fazenda Riachão.;;Alagoas
Melanoxylon brauna Schott;Melanoxylon brauna Schott;-10,128333;-36,279722;gass84,inmano;PRESERVED_SPECIMEN;PRESENT;MAC - Herbário do Instituto do Meio Ambiente do Estado de Alagoas;MAC - Herbário do Instituto do Meio Ambiente do Estado de Alagoas;"M.A.B.L.Machado; et al.";Usina Coruripe, Fazenda Santo Antônio A, mata da garagem.;;Alagoas
Melanoxylon brauna Schott;Melanoxylon brauna Schott;-9,372803;-36,243261;gass84,inmano;PRESERVED_SPECIMEN;PRESENT;MAC - Herbário do Instituto do Meio Ambiente do Estado de Alagoas;MAC - Herbário do Instituto do Meio Ambiente do Estado de Alagoas;"I.A.Bayma; M.A.B.L.Machado";Usina Coruripe, fazenda Progresso, Bloco 70, Borrione.;;Alagoas
Melanoxylon brauna Schott;Melanoxylon brauna Schott;-19,76611;-42,65389;gass84,osiic,inmano;PRESERVED_SPECIMEN;PRESENT;CEN - Herbário da Embrapa Recursos Genéticos e Biotecnologia;CEN - Herbário da Embrapa Recursos Genéticos e Biotecnologia;João Marcelo de Rezende;Sítio Velho do Paulino / CAF. perto do PFERD.;;Mg
Melanoxylon brauna Schott;Melanoxylon brauna Schott;-16,266667;-39,016667;gass84,incomis,inmafu;PRESERVED_SPECIMEN;PRESENT;ALCB - Herbário Alexandre Leal Costa;ALCB - Herbário Alexandre Leal Costa;Pacheco, LM;Extremo Sul, Estação Veracruz;;Bahia
Melanoxylon brauna Schott;Melanoxylon brauna Schott;-20,8;-42,85;cudc,gass84;OBSERVATION;PRESENT;Federal University of Vicosa (UFV/LEEP);FSN_DynamicsPlotData_2001-2010;;;;
Melanoxylon brauna Schott;Melanoxylon brauna Schott;-16,266667;-39,016667;cdround,gass84,colmafu,inmafu;PRESERVED_SPECIMEN;PRESENT;ALCB - Herbário Alexandre Leal Costa;ALCB - Herbário Alexandre Leal Costa;Pacheco, LM;Extremo Sul, Estação Veracruz;;
Melanoxylon brauna Schott;Melanoxylon brauna Schott;-9,372803;-36,243261;gass84,inmano;PRESERVED_SPECIMEN;PRESENT;MAC - Herbário do Instituto do Meio Ambiente do Estado de Alagoas;MAC - Herbário do Instituto do Meio Ambiente do Estado de Alagoas;R.P.Lyra-Lemos;Próximo à Usina Coruripe.;;
Melanoxylon brauna Schott;Melanoxylon brauna Schott;-16,323333;-39,584722;gass84,diffown;PRESERVED_SPECIMEN;PRESENT;HUEFS - Herbario da Universidade Estadual de Feira de Santana;HUEFS - Herbario da Universidade Estadual de Feira de Santana;Santos, A.A.;BA - BR 101, 4 km após Eunápolis, sentido Eunápolis - Salvador.;;
Melanoxylon brauna Schott;Melanoxylon brauna Schott;-16,32333;-39,58472;gass84,osiic,inmano;PRESERVED_SPECIMEN;PRESENT;CEN - Herbário da Embrapa Recursos Genéticos e Biotecnologia;CEN - Herbário da Embrapa Recursos Genéticos e Biotecnologia;Aécio Amaral-Santos;BR 101, 4 km após Eunápolis, sentido Eunápolis - Salvador.;;
Melanoxylon brauna Schott;Melanoxylon brauna Schott;-20,225278;-42,499444;cdround,gass84,inmano;PRESERVED_SPECIMEN;PRESENT;Rio de Janeiro Botanical Garden;RB - Rio de Janeiro Botanical Garden Herbarium Collection;F.B. Pereira;Mun. Abre Campo, 1º Distrito Cachoeira Fazenda Cachoeira.;;
Melanoxylon brauna Schott;Melanoxylon brauna Schott;-16,333333;-39,166666;gass84,osiic,inmano;PRESERVED_SPECIMEN;PRESENT;CEN - Herbário da Embrapa Recursos Genéticos e Biotecnologia;CEN - Herbário da Embrapa Recursos Genéticos e Biotecnologia;Ednea Moraes Ferreira;Estação Pau Brasil - CEPLAC.;;
Melanoxylon brauna Schott;Melanoxylon brauna Schott;-15,283333;-39,066667;gass84,incomis,inmafu;PRESERVED_SPECIMEN;PRESENT;ALCB - Herbário Alexandre Leal Costa;ALCB - Herbário Alexandre Leal Costa;"Argôlo, AS; Guedes, ML; Carvalho, G";Litoral Sul, Faz. Marajoara;;
Melanoxylon brauna Schott;Melanoxylon brauna Schott;-15,283333;-39,066667;cdround,gass84,rdativ,colmafu,inmafu;PRESERVED_SPECIMEN;PRESENT;ALCB - Herbário Alexandre Leal Costa;ALCB - Herbário Alexandre Leal Costa;"Argôlo, AS;Guedes, ML,Carvalho, G";Litoral Sul, Faz. Marajoara;;
Melanoxylon brauna Schott;Melanoxylon brauna Schott;-16,333333;-39,166667;cdround,gass84,rdativ,incomis,inmafu;PRESERVED_SPECIMEN;PRESENT;CEN - Herbário da Embrapa Recursos Genéticos e Biotecnologia;CEN - Herbário da Embrapa Recursos Genéticos e Biotecnologia;Ednea Moraes Ferreira;Estação Pau Brasil - CEPLAC.;;
Melanoxylon brauna Schott;Melanoxylon brauna Schott;-16,266667;-39,016667;gass84,incomis,inmafu;PRESERVED_SPECIMEN;PRESENT;ALCB - Herbário Alexandre Leal Costa;ALCB - Herbário Alexandre Leal Costa;"Lima, SS dos; Guedes, ML; Cabral, LCC; Oliveira, H";Extremo Sul, Mata cara-branca, projeto CEDRO;;
Melanoxylon brauna Schott;Melanoxylon brauna Schott;-16,266667;-39,016667;cdround,gass84,colmafu,inmafu;PRESERVED_SPECIMEN;PRESENT;ALCB - Herbário Alexandre Leal Costa;ALCB - Herbário Alexandre Leal Costa;"Lima, SS dos;Guedes, ML,Oliveira, H,Cabral, LCC";Extremo Sul, Mata cara-branca, projeto CEDRO;;
Melanoxylon brauna Schott;Melanoxylon brauna Schott;-22,55;-43,266667;cdround,gass84,inmano;PRESERVED_SPECIMEN;PRESENT;Rio de Janeiro Botanical Garden;RB - Rio de Janeiro Botanical Garden Herbarium Collection;"S. J. Silva Nato; et al.";Trilha ao redor bda barragem, lado direito, interior de mata. Reserva da Petrobras;;
Melanoxylon brauna Schott;Melanoxylon brauna Schott;-22,55;-43,266667;gass84,colmafu;PRESERVED_SPECIMEN;PRESENT;The New York Botanical Garden;Vascular plants;S. J. da Silva Neto;Trilha ao redor bda barragem, lado direito, interior de mata. Reserva da Petrobras;;
Melanoxylon brauna Schott;Melanoxylon brauna Schott;-14,683333;-39,116667;gass84,incomis,inmafu;PRESERVED_SPECIMEN;PRESENT;ALCB - Herbário Alexandre Leal Costa;ALCB - Herbário Alexandre Leal Costa;"Mattos Silva, LA; Florêncio, CS; Jesus, JA de; Pimentel, JMA";Litoral Sul, Fazenda Nossa Senhora de Fátima, km 2 do ramal para Japu, com entrada no km 14 da Rod. Ilhéus/Itabuna, lado esquerdo.;;
Melanoxylon brauna Schott;Melanoxylon brauna Schott;-22,5;-42,25;gass84,rdativ,inmano;PRESERVED_SPECIMEN;PRESENT;Rio de Janeiro Botanical Garden;RB - Rio de Janeiro Botanical Garden Herbarium Collection;"C.Luchiari; et al.";Est. Juturnaiba, direita - Km 8. Reserva Biólogica de Poço das Antas;;
Melanoxylon brauna Schott;Melanoxylon brauna Schott;-14,683333;-39,116667;cdround,elmms,gass84,colmafu,inmafu;PRESERVED_SPECIMEN;PRESENT;ALCB - Herbário Alexandre Leal Costa;ALCB - Herbário Alexandre Leal Costa;"Mattos Silva, LA;Jesus, JA de,Florêncio, CS,Pimentel, JMA";Litoral Sul, Fazenda Nossa Senhora de Fátima, km 2 do ramal para Japu, com entrada no km 14 da Rod. Ilhéus/Itabuna, lado esquerdo.;;
Melanoxylon brauna Schott;Melanoxylon brauna Schott;-22,55;-43,266667;cdround,gass84,rdativ,inmano;PRESERVED_SPECIMEN;PRESENT;Rio de Janeiro Botanical Garden;RB - Rio de Janeiro Botanical Garden Herbarium Collection;"H.C. de Lima; et al.";flora de Saracuruna. Rio Pedra Branca. Reserva da Petrobras;;
Melanoxylon brauna Schott;Melanoxylon brauna Schott;-14,28149543;-38,99658362;cdrep,colmafu;PRESERVED_SPECIMEN;PRESENT;The New York Botanical Garden;Vascular plants;A. M. Amorim;Estrada Itacaré/Serra Grande, a partir de 6 km da sede do município;Mata higrófila sul baiana;
Melanoxylon brauna Schott;Melanoxylon brauna Schott;-14,277778;-38,996667;cdround,gass84,rdativ,colmafu,inmafu;PRESERVED_SPECIMEN;PRESENT;NY;;A. M. Amorim;Estrada Itacaré/Serra Grande, a partir de 6 km da sede do município;;
Melanoxylon brauna Schott;Melanoxylon brauna Schott;-15,283333;-39,066667;gass84,inmano;PRESERVED_SPECIMEN;PRESENT;CEPEC - Herbário do Centro de Pesquisas do Cacau;CEPEC - Herbário do Centro de Pesquisas do Cacau;A. Argolo;Faz. Marajoara.;;
Melanoxylon brauna Schott;Melanoxylon brauna Schott;-12,0475;-37,723333;gass84,diffown;PRESERVED_SPECIMEN;PRESENT;IPA - Herbário - IPA Dárdano de Andrade Lima;IPA - Herbário - IPA Dárdano de Andrade Lima;Silva, L.N.;Fazenda do Bu, próximo a cancela da trilha 1 da Mata da Mare;;
Melanoxylon brauna Schott;Melanoxylon brauna Schott;-12,0475;-43,4;gass84,colmafu,inmafu;PRESERVED_SPECIMEN;PRESENT;UESC - Herbário Universidade Estadual de Santa Cruz;UESC - Herbário Universidade Estadual de Santa Cruz;Silva, L.N.;;;
Melanoxylon brauna Schott;Melanoxylon brauna Schott;-21,391389;-41,094444;cdround,gass84,inmano;PRESERVED_SPECIMEN;PRESENT;HUENF;Herbário - Universidade Estadual do Norte Fluminense Darcy Ribeiro;"Nascimento, M.T.;Da Silva, G.C.";Mata do Carvão Estação Ecológica Estadual de Guaxindiba;;
Melanoxylon brauna Schott;Melanoxylon brauna Schott;-12,046944;-37,72;gass84,gdativ,txmatfuz,inmano;PRESERVED_SPECIMEN;PRESENT;Instituto Nacional de Pesquisas da Amazônia (INPA);Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA);Mike Hopkins;Fazenda do Bu. Mata da Maré. Floresta Ombrófila Aberta.;;
Melanoxylon brauna Schott;Melanoxylon brauna Schott;-22,5;-42,25;gass84,rdativ,inmano;PRESERVED_SPECIMEN;PRESENT;Rio de Janeiro Botanical Garden;RB - Rio de Janeiro Botanical Garden Herbarium Collection;"D.S.Farias; et al.";Trilha Rodolfo Sul. Reserva Biológica de Poço das Antas;;
Melanoxylon brauna Schott;Melanoxylon brauna Schott;-9,954264;-36,824558;gass84,inmano;PRESERVED_SPECIMEN;PRESENT;MAC - Herbário do Instituto do Meio Ambiente do Estado de Alagoas;MAC - Herbário do Instituto do Meio Ambiente do Estado de Alagoas;"C.S.S.Barros; I.A.Bayma";;;
Melanoxylon brauna Schott;Melanoxylon brauna Schott;-12,046944;-37,715556;gass84,diffown;PRESERVED_SPECIMEN;PRESENT;IPA - Herbário - IPA Dárdano de Andrade Lima;IPA - Herbário - IPA Dárdano de Andrade Lima;"Jost, T.; et al.; et al.";Fazenda do Bu, Mata da Mare;;
Melanoxylon brauna Schott;Melanoxylon brauna Schott;-12,046944;-37,715556;gass84,inmano;PRESERVED_SPECIMEN;PRESENT;CEPEC - Herbário do Centro de Pesquisas do Cacau;CEPEC - Herbário do Centro de Pesquisas do Cacau;T. Jost;Fazenda do Bu.mata da Maré.;;
Melanoxylon brauna Schott;Melanoxylon brauna Schott;-12,046944;-37,715556;gass84,diffown;PRESERVED_SPECIMEN;PRESENT;HUEFS - Herbario da Universidade Estadual de Feira de Santana;HUEFS - Herbario da Universidade Estadual de Feira de Santana;Jost, T.;Fazenda do Bu, Mata da Maré.;;
Melanoxylon brauna Schott;Melanoxylon brauna Schott;-12,046944;-37,715556;gass84,incomis,inmafu;PRESERVED_SPECIMEN;PRESENT;ALCB - Herbário Alexandre Leal Costa;ALCB - Herbário Alexandre Leal Costa;Jost, T;Fazenda do BU, mata da Maré;;
Melanoxylon brauna Schott;Melanoxylon brauna Schott;-12,046944;-37,715556;cdround,gass84,colmafu,inmafu;PRESERVED_SPECIMEN;PRESENT;ALCB - Herbário Alexandre Leal Costa;ALCB - Herbário Alexandre Leal Costa;Jost, T;Fazenda do BU, mata da Maré;;
Melanoxylon brauna Schott;Melanoxylon brauna Schott;-21,98494544;-42,36820984;cdrep,colmafu;PRESERVED_SPECIMEN;PRESENT;The New York Botanical Garden;Vascular plants;M. Kawall;;;
Melanoxylon brauna Schott;Melanoxylon brauna Schott;-21,981111;-42,368056;cdround,gass84,rdativ,colmafu,inmafu;PRESERVED_SPECIMEN;PRESENT;NY;;M. Kawall;;;
